series,title,year,release,rated,runtime,action,adventure,crime,drama,fantasy,thriller,documentary,horror,scifi,war,comedy,family,mystery,romance,animation,music,biography,history,short,western,language,inEnglish,country,isUSA,awards,wins,nominations,imdbRating,metascore,rottenscore,imdbVote,plot,production.budget,domestic,boxoffice,title2,year2,release2,rated2,runtime2,action2,adventure2,crime2,drama2,fantasy2,thriller2,documentary2,horror2,scifi2,war2,comedy2,family2,mystery2,romance2,animation2,music2,biography2,history2,short2,western2,language2,inEnglish2,country2,isUSA2,awards2,wins2,nominations2,imdbRating2,metascore2,rottenscore2,imdbVote2,plot2,production.budget2,domestic2,boxoffice2
300,300,2006,3/9/2007,R,117,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada, Bulgaria",TRUE,17 wins & 45 nominations.,17,45,7.7,52,60,704212,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,78415703,254000000,210500000,300: Rise of an Empire,2014,3/7/2014,R,102,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 win & 6 nominations.,1,6,6.2,48,45,267413,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",114000000,111000000,91024535
Fast and Furious,2 Fast 2 Furious,2003,6/6/2003,PG-13,107,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish",TRUE,"USA, Germany",TRUE,4 wins & 13 nominations.,4,13,5.9,38,36,237549,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,105000000,175000000,127083765,The Fast and the Furious: Tokyo Drift,2006,6/16/2006,PG-13,104,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Japanese, Portuguese",TRUE,"USA, Germany, Japan",TRUE,1 win & 4 nominations.,1,4,6,45,38,225642,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,-999,79216700,62500000
21 Jump Street,21 Jump Street,2012,3/16/2012,R,109,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,11 wins & 20 nominations.,11,20,7.2,69,85,487194,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,43542220,144000000,134000000,22 Jump Street,2014,6/13/2014,R,112,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,7 wins & 24 nominations.,7,24,7,71,84,325994,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",50360882,193000000,154295930
28 Days Later,28 Days Later...,2002,6/27/2003,R,113,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish",TRUE,UK,FALSE,10 wins & 31 nominations.,10,31,7.6,73,86,352515,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",11011617,62029700,44900469,28 Weeks Later,2007,5/11/2007,R,100,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, Spain",FALSE,2 wins & 13 nominations.,2,13,7,78,71,245828,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",-999,34549900,28586503
James Bond,A View to a Kill,1985,5/24/1985,PG,131,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French",TRUE,UK,FALSE,Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,2,4,6.4,40,36,82164,An investigation of a horse-racing scam leads 007 to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.,-999,118000000,N/A,The Living Daylights,1987,7/31/1987,PG,130,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Arabic, French, German, Russian, Czech, Slovak, Dari, Pushto",TRUE,UK,FALSE,3 wins & 4 nominations.,3,4,6.7,60,71,82480,James Bond is sent to investigate a KGB policy to kill all enemy spies and uncovers an arms deal that potentially has major global ramifications.,-999,109000000,N/A
Alien,Alien,1979,6/22/1979,R,117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, USA",TRUE,Won 1 Oscar. Another 16 wins & 19 nominations.,16,19,8.4,89,97,734400,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",36374498,261000000,N/A,Aliens,1986,7/18/1986,R,137,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, UK",TRUE,Won 2 Oscars. Another 18 wins & 22 nominations.,18,22,8.4,84,99,613004,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",-999,191000000,N/A
Alien,Alien 3,1992,5/22/1992,R,114,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 Oscar. Another 5 wins & 23 nominations.,5,23,6.5,59,42,261679,"After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.",80193212,111000000,N/A,Alien Resurrection,1997,11/26/1997,R,109,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,6 wins & 18 nominations.,6,18,6.2,63,56,216236,"200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",-999,86427900,N/A
Alien,Alien vs. Predator,2004,8/13/2004,PG-13,101,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Italian",TRUE,"USA, UK, Czech Republic, Canada, Germany",TRUE,2 wins & 4 nominations.,2,4,5.6,29,20,177049,"During an archaeological expedition on Bouvetřya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",100000000,107000000,80218314,Aliens vs. Predator: Requiem,2007,12/25/2007,R,94,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,4 nominations.,0,4,4.7,29,11,111190,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",136000000,49165300,41668854
Alien,Aliens,1986,7/18/1986,R,137,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, UK",TRUE,Won 2 Oscars. Another 18 wins & 22 nominations.,18,22,8.4,84,99,613004,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",-999,191000000,N/A,Alienł,1992,5/22/1992,R,114,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 Oscar. Another 5 wins & 23 nominations.,5,23,6.5,59,42,261679,"After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.",100000000,111000000,N/A
Alvin and the Chipmunks,Alvin and the Chipmunks,2007,12/14/2007,PG,92,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"English, French, Spanish, Japanese",TRUE,USA,TRUE,3 wins & 2 nominations.,3,2,5.2,39,28,71462,Three musical chipmunks are discovered by an aspiring songwriter and wants to become famous by using their amazing singing abilities.,70923180,257000000,217172612,Alvin and the Chipmunks: The Squeakquel,2009,12/23/2009,PG,88,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"English, French",TRUE,USA,TRUE,3 wins.,3,0,4.5,41,20,40555,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",80227756,235000000,219304216
