Name,Year,Runtime,ID,James Bond,Director,imdbRating,Budget,Domestic,Plot
Dr. No,1962,110,tt0055928,Sean Connery,Terence Young,7.3,-999,156889900,
From Russia with Love,1963,115,tt0057076,Sean Connery,Terence Young,7.5,-999,221304500,
Goldfinger,1964,110,tt0058150,Sean Connery,Guy Hamilton,7.8,-999,550290000,
Thunderball,1965,130,tt0059800,Sean Connery,Terence Young,7,-999,620840000,
You Only Live Twice,1967,117,tt0062512,Sean Connery,Lewis Gilbert,6.9,-999,298003100,
On Her Majesty's Secret Service,1969,142,tt0064757,George Lazenby,Peter R. Hunt?,6.8,-999,133118500,
Diamonds Are Forever,1971,120,tt0066995,Sean Connery,Guy Hamilton,6.7,-999,220425600,
Live and Let Die,1973,121,tt0070328,Roger Moore,Guy Hamilton,6.8,-999,165896100,
The Man with the Golden Gun,1974,125,tt0071807,Roger Moore,Guy Hamilton,6.8,-999,93084300,
The Spy Who Loved Me,1977,125,tt0076752,Roger Moore,Lewis Gilbert,7.1,-999,174332300,
Moonraker,1979,126,tt0079574,Roger Moore,Lewis Gilbert,6.2,-999,232492900,
For Your Eyes Only,1981,127,tt0082398,Roger Moore,John Glen,6.8,-999,163649700,
Octopussy,1983,131,tt0086034,Roger Moore,John Glen,6.6,-999,178894300,
A View to a Kill,1985,131,tt0090264,Roger Moore,John Glen,6.3,-999,117668200,
The Living Daylights,1987,130,tt0093428,Timothy Dalton,John Glen,6.7,-999,108655500,
Licence to Kill,1989,133,tt0097742,Timothy Dalton,John Glen,6.6,-999,72477600,
GoldenEye,1995,130,tt0113189,Pierce Brosnan,Martin Campbell,7.2,-999,202552700,
Tomorrow Never Dies,1997,119,tt0120347,Pierce Brosnan,Roger Spottiswoode,6.4,-999,223362800,
The World Is Not Enough,1999,128,tt0143145,Pierce Brosnan,Michael Apted,6.4,219378311.1,206286600,
Die Another Day,2002,133,tt0246460,Pierce Brosnan,Lee Tamahori,6.1,202001447.2,228947500,
Casino Royale,2006,144,tt0381061,Daniel Craig,Martin Campbell,8,189068252.2,211058100,
Quantum of Solace,2008,106,tt0830515,Daniel Craig,Marc Forster,6.7,231197741.1,194632000,
Skyfall,2012,143,tt1074638,Daniel Craig,Sam Mendes,7.8,206211206.7,313812500,
Spectre,2015,148,tt2379713,Daniel Craig,Sam Mendes,6.8,245000000,200074609,
