Series,Name,Production Budget,SeriesLength,NumInSeries,RebootLength,RebootIndex,NumInReboot,Year,Rated,Released,Runtime,Action,Adventure,Crime,Drama,Thriller,Fantasy,Horror,Sci-Fi,War,Comedy,Family,Crime,Mystery,Romance,Animation,Music,Biography,History,Documentary,Short,Western,Language,isEnglish,Country,isUSA,Wins,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Domestic,Domestic Lifetime,Foreign,Worldwide,Adj Factor,Adj Factor Lifetime
Batman,Batman,72807013.97,8,1,2,1,1,1989,PG-13,6/23/89,126,1,1,,,,,,,,,,,,,,,,,,,,"English, French",1,"USA, UK",1,10,21,66,7.6,233127,tt0096895,522523300,522523300,333164895.9,855688195.9,2.080200399,2.080200399
Batman,Batman Returns,160000002,8,2,2,1,2,1992,PG-13,6/19/92,126,1,,,,,,,,,,,,,,,,,,,,,English,1,"USA, UK",1,2,16,-999,7,185673,tt0103776,325663400,325663400,207981314.6,533644714.6,2.000000025,2.000000025
Batman,Batman: Mask of the Phantasm,6000000,8,3,2,1,3,1993,PG,12/25/93,76,1,1,,,,,,,,,,,,,1,,,,,,,English,1,USA,1,0,1,-999,7.9,23827,tt0106364,11211400,11211400,11211400,11211400,1.995837569,1.995837569
Batman,Batman Forever,190804585.3,8,4,2,1,4,1995,PG-13,6/16/95,121,1,1,,,,1,,,,,,,,,,,,,,,,English,1,"USA, UK",1,9,20,51,5.4,167238,tt0112462,351139800,351139800,290973237.5,642113037.5,1.908045853,1.908045853
Batman,Batman & Robin,226034879.3,8,5,2,1,5,1997,PG-13,6/20/97,125,1,,,,,,,,,,,,,,,,,,,,,English,1,"USA, UK",1,5,20,28,3.6,167233,tt0118688,194073900,194073900,236671044.6,430744944.6,1.808279035,1.808279035
Batman,Batman Begins,194227729.5,8,6,2,2,1,2005,PG-13,6/15/05,140,1,1,,,,,,,,,,,,,,,,,,,,"English, Urdu, Mandarin",1,"USA, UK",1,15,49,70,8.3,785666,tt0372784,265889700,267843188.1,216714433.3,484557621.4,1.29485153,1.29286273
Batman,The Dark Knight,213820341.3,8,7,2,2,2,2008,N/A,7/18/08,152,1,,1,1,,,,,,,,1,,,,,,,,,,"English, Mandarin",1,"USA, UK",1,134,106,82,9,1377780,tt0468569,616432900,618181703.1,542872509.9,1161054213,1.155785629,1.155407579
Batman,The Dark Knight Rises,266709488.8,8,8,2,2,3,2012,PG-13,7/20/12,165,1,,,,1,,,,,,,,,,,,,,,,,English,1,"USA, UK",1,43,83,78,8.5,917049,tt1345836,478091800,478091800,678828990.9,1156920791,1.066837955,1.066837955
Home Alone,Home Alone,35412389.36,3,1,2,1,1,1990,PG,11/16/90,103,,,,,,,,,,1,1,,,,,,,,,,,English,1,USA,1,10,6,63,7.4,253180,tt0099785,562193800,562193800,375614161.7,937807961.7,1.967354964,1.967354964
Home Alone,Home Alone 2: Lost in New York,20000000,3,2,2,1,2,1992,PG,11/20/92,120,,1,,,,,,,,1,1,,,,,,,,,,,"English, French",1,USA,1,3,2,-999,6.5,159129,tt0104431,347351600,347351600,371011535.4,718363135.4,2.001040225,2.001040225
Home Alone,Home Alone 3,57115348.28,3,3,2,2,1,1997,PG,12/12/97,102,,,,,,,,,,1,1,,,,,,,,,,,"English, Polish",1,USA,1,0,3,-999,4.2,60142,tt0119303,55120800,55120800,86029993.35,141150793.3,1.784854634,1.784854634
Hulk,Hulk,188573801.6,2,1,2,1,1,2003,PG-13,6/20/03,138,1,,,,,,,1,,,,,,,,,,,,,,"English, Spanish",1,USA,1,2,8,54,5.7,183322,tt0286716,181935500,181935500,155791204.2,337726704.2,1.376451107,1.376451107
Hulk,The Incredible Hulk,173398340.5,2,2,2,2,1,2008,PG-13,6/13/08,112,1,1,,,,,,1,,,,,,,,,,,,,,"English, Portuguese, Spanish",1,USA,1,1,5,61,6.9,276434,tt0800080,155835300,155835300,148684034.5,304519334.5,1.155988937,1.155988937
James Bond,Dr. No,-999,23,1,5,1,1,1962,Approved,5/8/63,110,1,1,,,1,,,,,,,,,,,,,,,,,"English, French",1,UK,0,3,2,-999,7.3,101121,tt0055928,156889900,156889900,156889900,156889900,9.764707676,9.764707676
James Bond,From Russia with Love,-999,23,2,5,1,2,1963,Approved,5/27/64,115,1,1,,,1,,,,,,,,,,,,,,,,,"English, Russian, Turkish, Romany",1,UK,0,4,4,-999,7.5,74637,tt0057076,221304500,221304500,221304500,221304500,8.924732722,8.924732722
James Bond,Goldfinger,-999,23,3,5,1,3,1964,Approved,1/9/65,110,1,1,,,1,,,,,,,,,,,,,,,,,"English, Chinese, Spanish",1,UK,0,5,5,-999,7.8,122501,tt0058150,550290000,550290000,550290000,550290000,10.77287704,10.77287704
James Bond,Thunderball,-999,23,4,5,1,4,1965,Approved,12/22/65,130,1,1,,,1,,,,,,,,,,,,,,,,,"English, French",1,UK,0,4,5,-999,7,70953,tt0059800,620840000,620840000,620840000,620840000,9.762301697,9.762301697
James Bond,You Only Live Twice,-999,23,5,5,1,5,1967,Approved,6/13/67,117,1,1,,,1,,,,,,,,,,,,,,,,,"English, Japanese, Russian",1,UK,0,1,3,-999,6.9,64287,tt0062512,298003100,298003100,298003100,298003100,6.916666433,6.916666433
James Bond,On Her Majesty's Secret Service,-999,23,6,5,1,6,1969,N/A,12/18/69,142,1,1,,,1,,,,,,,,,,,,,,,,,"English, German, French",1,UK,0,0,4,-999,6.8,49686,tt0064757,133118500,133118500,133118500,133118500,5.845069745,5.845069745
James Bond,Diamonds Are Forever,-999,23,7,5,1,7,1971,N/A,12/17/71,120,1,1,,,1,,,,,,,,,,,,,,,,,"English, German",1,UK,0,1,4,-999,6.7,63757,tt0066995,220425600,220425600,220425600,220425600,5.030303029,5.030303029
James Bond,Live and Let Die,-999,23,8,5,2,1,1973,PG,6/27/73,121,1,1,,,1,,,,,,,,,,,,,,,,,"English, Hungarian",1,UK,0,2,3,-999,6.8,63848,tt0070328,165896100,165896100,165896100,165896100,4.689266466,4.689266466
