Series,Domestic1,Domestic2,DomesticDiff,DomesticPDiff,Rating1,Rating2,RatingDiff,RatingPDiff,ROI1,ROI2,ROIDiff,ROIPDiff
Batman,194073900,265889700,71815800,0.370043576,3.6,8.3,4.7,1.305555556,0.905656976,1.494791154,0.589134178,0.650504764
Home Alone,347351600,55120800,-292230800,-0.841311225,6.5,4.2,-2.3,-0.353846154,34.91815677,1.471328593,-33.44682818,-0.957863509
Hulk,181935500,155835300,-26100200,-0.143458533,5.7,6.9,1.2,0.210526316,0.790952409,0.756183673,-0.034768736,-0.043958063
Planet of the Apes,41474700,206483900,165009200,3.978550779,5.5,5.7,0.2,0.036363636,22.0415,1.064839,-20.976661,-0.951689359
Planet of the Apes,206483900,184815900,-21668000,-0.104937964,5.7,7.6,1.9,0.333333333,1.064839,4.180656441,3.115817441,2.926092527
Spider-Man,405988600,279544300,-126444300,-0.311447908,6.2,7.1,0.9,0.14516129,2.452990797,2.295350709,-0.157640089,-0.064264444
Star Trek,148534600,149776400,1241800,0.008360342,7.2,6.6,-0.6,-0.083333333,6.117382633,2.373460715,-3.743921918,-0.61201369
Star Trek,61090400,286748500,225658100,3.693838967,6.4,8,1.6,0.25,0.121880433,1.571202972,1.449322539,11.89134711
Superman,33287100,253538000,220250900,6.616704369,3.7,6.1,2.4,0.648648649,-0.077587059,0.448448859,0.526035918,-6.779944058
Superman,253538000,288267000,34729000,0.136977494,6.1,7.2,1.1,0.180327869,0.448448859,1.969091192,1.520642332,3.390893523
The Muppets,27164200,93845500,66681300,2.454749266,6.2,7.2,1,0.161290323,-0.0698495,2.670760822,2.740610322,-39.2359333
