Series,RebootIndex,Domestic1,Domestic2,DomesticDiff,DomesticPDiff,Rating1,Rating2,RatingDiff,RatingPDiff,ROI1,ROI2,ROIDiff,ROIPDiff,DomesticSlope,RatingSlope,ROISlope,YearDiff,DomesticMean,RatingMean,ROIMean
Batman,1,194073900,265889700,71815800,0.370043576,3.6,8.3,4.7,1.305555556,0.905656976,1.494791154,0.589134178,0.650504764,-63142240,-0.96,-1.966,8,280922360,6.3,3.4455242
Home Alone,1,347351600,55120800,-292230800,-0.841311225,6.5,4.2,-2.3,-0.353846154,34.91815677,1.471328593,-33.44682818,-0.957863509,-214842200,-0.9,9.436,5,454772700,6.95,30.2003194
Hulk,1,181935500,155835300,-26100200,-0.143458533,5.7,6.9,1.2,0.210526316,0.790952409,0.756183673,-0.034768736,-0.043958063,0,0,0,5,181935500,5.7,0.7909524
Planet of the Apes,1,41474700,206483900,165009200,3.978550779,5.5,5.7,0.2,0.036363636,22.0415,1.064839,-20.976661,-0.951689359,-38760540,-0.51,-3.3059,28,91194220,6.38,27.6751415
Planet of the Apes,2,206483900,184815900,-21668000,-0.104937964,5.7,7.6,1.9,0.333333333,1.064839,4.180656441,3.115817441,2.926092527,0,0,0,10,206483900,5.7,1.064839
Spider-Man,1,405988600,279544300,-126444300,-0.311447908,6.2,7.1,0.9,0.14516129,2.452990797,2.295350709,-0.157640089,-0.064264444,-85367400,-0.55,-1.2293,5,494009867,6.966667,3.4277983
Star Trek,1,148534600,149776400,1241800,0.008360342,7.2,6.6,-0.6,-0.083333333,6.117382633,2.373460715,-3.743921918,-0.61201369,-25929686,-0.07143,0.3744,3,196833833,6.75,5.7717738
Star Trek,2,61090400,286748500,225658100,3.693838967,6.4,8,1.6,0.25,0.121880433,1.571202972,1.449322539,11.89134711,-31621230,-0.18,-1.0752,7,126254875,6.75,2.0937438
Superman,1,33287100,253538000,220250900,6.616704369,3.7,6.1,2.4,0.648648649,-0.077587059,0.448448859,0.526035918,-6.779944058,-149339160,-1.27,-1.1561,19,247581300,5.675,2.1086871
Superman,2,253538000,288267000,34729000,0.136977494,6.1,7.2,1.1,0.180327869,0.448448859,1.969091192,1.520642332,3.390893523,0,0,0,7,253538000,6.1,0.4484489
The Muppets,1,27164200,93845500,66681300,2.454749266,6.2,7.2,1,0.161290323,-0.0698495,2.670760822,2.740610322,-39.2359333,-29622851,-0.2171,-3.343,12,86343933,7.1,8.5975947
