series,title,year,release,rated,runtime,action,adventure,thriller,documentary,crime,drama,fantasy,horror,scifi,war,comedy,family,mystery,romance,animation,music,biography,history,short,western,language,inEnglish,country,isUSA,awards,wins,nominations,imdbRating,metascore,rottenscore,imdbVote,imdbID,domestic,Domestic Lifetime,Foreign,Worldwide,Adj Factor,Adj Factor Lifetime,plot,title2,year2,release2,rated2,runtime2,action2,adventure2,thriller2,documentary2,crime2,drama2,fantasy2,horror2,scifi2,war2,comedy2,family2,mystery2,romance2,animation2,music2,biography2,history2,short2,western2,language2,inEnglish2,country2,isUSA2,awards2,wins2,nominations,imdbRating2,metascore2,rottenscore2,imdbVote2,imdbID2,production.budget2,domestic2,Domestic Lifetime2,Foreign2,Worldwide2,AdjFactor2,AdjFactor Lifetime2,plot2,yearDiff,ratedDiff,actionDiff,adventureDiff,crimeDiff,dramaDiff,thrillerDiff,fantasyDiff,horrorDiff,scifiDiff,warDiff,comedyDiff,familyDiff,mysteryDiff,animationDiff,musicDiff,biographyDiff,historyDiff,documentaryDiff,shortDiff,westernDiff,languageDiff,isEnglishDiff,countryDiff,isUSADiff,winsDiff,nominationDiff,metascoreDiff,imdbratingDiff,imdbvoteDiff,productionBudgetDiff,domesticDiff,foreignDiff,worldDiff,RateGr,RateGr2,Rev1,Rev2,ReleaseDiff,production.budget,seriesNo
21 Jump Street,21 Jump Street,2012,3/16/12,R,109,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,11 wins & 20 nominations.,11,20,7.2,69,85,487194,tt1232829,144000000,1.44E+08,65456046,2.09E+08,1.03672,1.03672,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,22 Jump Street,2014,6/13/14,R,112,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,7 wins & 24 nominations.,7,24,7,71,84,325994,tt2294449,50360882,193000000,1.93E+08,1.41E+08,3.34E+08,1.007218,1.007218,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31,6,2,-0.2,-161200,-43542087,-143999948,75543954,-208999882,"(6.7,7.5]","(6.7,7.5]","(1e+08,2e+08]","(1e+08,2e+08]",819,43542220,2
28 Days Later,28 Days Later...,2002,6/27/03,R,113,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish",TRUE,UK,FALSE,10 wins & 31 nominations.,10,31,7.6,73,86,352515,tt0289043,62029700,62029700,51830265,1.14E+08,1.376452,1.376452,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",28 Weeks Later,2007,5/11/07,R,100,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, Spain",FALSE,2 wins & 13 nominations.,2,13,7,78,71,245828,tt0463854,-999,34549900,34549900,42947156,77497056,1.206397,1.206397,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,12,-20,5,-0.6,-106687,-11011615,-62029558,-8883109,-113999774,"(7.5,10]","(6.7,7.5]","(0,1e+08]","(0,1e+08]",1414,11011617,2
300,300,2006,3/9/07,R,117,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada, Bulgaria",TRUE,17 wins & 45 nominations.,17,45,7.7,52,60,704212,tt0416449,254000000,2.54E+08,2.96E+08,5.50E+08,1.206395,1.206395,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,300: Rise of an Empire,2014,3/7/14,R,102,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 win & 6 nominations.,1,6,6.2,48,45,267413,tt1253863,114000000,111000000,1.11E+08,2.40E+08,3.51E+08,1.038483,1.038483,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-11,12,-4,-1.5,-436799,-78415690,-253999992,-5.60E+07,-549999880,"(7.5,10]","(5.9,6.7]","(2e+08,3e+08]","(1e+08,2e+08]",2555,78415703,2
Alien,Alien,1979,6/22/79,R,117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, USA",TRUE,Won 1 Oscar. Another 16 wins & 19 nominations.,16,19,8.4,89,97,734400,tt0078748,261000000,2.68E+08,79362542,3.47E+08,3.306773,3.259383,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",Aliens,1986,7/18/86,R,137,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, UK",TRUE,Won 2 Oscars. Another 18 wins & 22 nominations.,18,22,8.4,84,99,613004,tt0090605,-999,191000000,1.91E+08,1.03E+08,2.93E+08,2.237196,2.237196,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,6,-5,0,-121396,-36374496,-260999950,23637458,-346999900,"(7.5,10]","(7.5,10]","(2e+08,3e+08]","(1e+08,2e+08]",2583,36374498,2
Alien,Aliens,1986,7/18/86,R,137,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, UK",TRUE,Won 2 Oscars. Another 18 wins & 22 nominations.,18,22,8.4,84,99,613004,tt0090605,191000000,1.91E+08,1.03E+08,2.93E+08,2.237196,2.237196,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",Alien³,1992,5/22/92,R,114,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 Oscar. Another 5 wins & 23 nominations.,5,23,6.5,59,42,261679,tt0103644,100000000,111000000,1.11E+08,2.09E+08,3.20E+08,2,2,"After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.",6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,16,3,-25,-1.9,-351325,1002,-190999992,1.06E+08,-292999886,"(7.5,10]","(5.9,6.7]","(1e+08,2e+08]","(1e+08,2e+08]",2135,-999,3
Alien,Alien 3,1992,5/22/92,R,114,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 Oscar. Another 5 wins & 23 nominations.,5,23,6.5,59,42,261679,tt0103644,111000000,1.11E+08,2.09E+08,3.20E+08,2,2,"After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.",Alien Resurrection,1997,11/26/97,R,109,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,6 wins & 18 nominations.,6,18,6.2,63,56,216236,tt0118583,136000000,86427900,86427900,2.05E+08,2.92E+08,1.808279,1.808279,"200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-4,-4,4,-0.3,-45443,-99999976,-110999759,-4.00E+06,-319999901,"(5.9,6.7]","(5.9,6.7]","(1e+08,2e+08]","(0,1e+08]",2014,1.00E+08,4
Alien  vs Predator,Alien vs. Predator,2004,8/13/04,PG-13,101,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Italian",TRUE,"USA, UK, Czech Republic, Canada, Germany",TRUE,2 wins & 4 nominations.,2,4,5.6,29,20,177049,tt0370263,107000000,1.07E+08,1.23E+08,2.31E+08,1.336554,1.336554,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",Aliens vs. Predator: Requiem,2007,12/25/07,R,94,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,4 nominations.,0,4,4.7,29,11,111190,tt0758730,-999,49165300,49165300,1.02E+08,1.52E+08,1.176286,1.176286,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-15,0,0,-0.9,-65859,-80193210,-106999820,-2.10E+07,-230999955,"(5.1,5.9]","(0,5.1]","(1e+08,2e+08]","(0,1e+08]",1229,80193212,2
Alvin and the Chipmunks,Alvin and the Chipmunks,2007,12/14/07,PG,92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"English, French, Spanish, Japanese",TRUE,USA,TRUE,3 wins & 2 nominations.,3,2,5.2,39,28,71462,tt0952640,257000000,2.57E+08,1.70E+08,4.27E+08,1.182053,1.182053,Three musical chipmunks are discovered by an aspiring songwriter and wants to become famous by using their amazing singing abilities.,Alvin and the Chipmunks: The Squeakquel,2009,12/23/09,PG,88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"English, French",TRUE,USA,TRUE,3 wins.,3,0,4.5,41,20,40555,tt1231580,80227756,235000000,2.35E+08,2.39E+08,4.74E+08,1.069703,1.069703,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-3,-16,2,-0.7,-30907,-70923010,-256999913,6.90E+07,-426999848,"(5.1,5.9]","(0,5.1]","(2e+08,3e+08]","(2e+08,3e+08]",740,70923180,2
Alvin and the Chipmunks,Alvin and the Chipmunks: The Squeakquel,2009,12/23/09,PG,88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"English, French",TRUE,USA,TRUE,3 wins.,3,0,4.5,41,20,40555,tt1231580,235000000,2.35E+08,2.39E+08,4.74E+08,1.069703,1.069703,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",Alvin and the Chipmunks: Chipwrecked,2011,12/16/11,G,87,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,2 wins & 1 nomination.,2,1,4.3,24,12,29103,tt1615918,79102669,140000000,1.40E+08,2.21E+08,3.61E+08,1.054702,1.054702,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-12,1,-17,-0.2,-11452,-80227587,-234999978,-1.80E+07,-473999876,"(0,5.1]","(0,5.1]","(2e+08,3e+08]","(1e+08,2e+08]",723,80227756,3
Alvin and the Chipmunks,Alvin and the Chipmunks: Chipwrecked,2011,12/16/11,G,87,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,2 wins & 1 nomination.,2,1,4.3,24,12,29103,tt1615918,140000000,1.40E+08,2.21E+08,3.61E+08,1.054702,1.054702,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",Alvin and the Chipmunks: The Road Chip,2015,12/18/15,PG,92,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"English, Spanish",TRUE,USA,TRUE,1 win & 4 nominations.,1,4,5,33,15,15098,tt2974918,-999,85886987,,148911649,234798636,,,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in Miami...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother.",4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-14,35,9,0.7,-14005,-79102668,-139999999,,-360999999,"(0,5.1]","(0,5.1]","(1e+08,2e+08]","(0,1e+08]",1463,79102669,4
